2026/06/16 08:35更新,#genre#
iHOT爱体育,http://171.213.239.229:8188/udp/239.94.1.143:5140
热门剧场,http://171.213.239.229:8188/udp/239.94.1.26:5140
百视通热门综艺,http://171.213.239.229:8188/udp/239.93.0.151:5140
百视通戏曲精选,http://171.213.239.229:8188/udp/239.94.1.37:5140
BesTV谍战剧场,http://171.213.239.229:8188/udp/239.94.1.28:5140
BesTV星光影院,http://171.213.239.229:8188/udp/239.94.1.23:5140
BesTV全球大片,http://171.213.239.229:8188/udp/239.94.1.24:5140
BesTV动漫,http://171.213.239.229:8188/udp/239.93.0.146:5140
BesTV少儿,http://171.213.239.229:8188/udp/239.93.0.147:5140
少儿天地,http://171.213.239.229:8188/udp/239.94.1.138:5140
BesTV游戏,http://36.49.55.163:8800/rtp/239.37.0.162:5540
咪咕体育,http://36.49.55.163:8800/rtp/239.37.0.194:5540
环球奇观,http://36.49.55.163:8800/rtp/239.37.0.105:5540
优优宝贝,http://36.49.55.163:8800/rtp/239.37.0.107:5540
卡酷少儿,http://106.59.2.85:55555/rtp/239.200.200.64:8324
优漫卡通,http://123.179.63.66:4022/rtp/239.29.0.127:5000
哈哈炫动,http://123.179.63.66:4022/rtp/239.29.0.128:5000
嘉佳卡通,http://123.179.63.66:4022/rtp/239.29.0.126:5000
少儿动画,http://124.112.189.64:4022/udp/238.1.78.6:7952
新动漫,http://106.59.2.85:55555/rtp/239.200.201.32:4120
茶频道,http://106.59.2.85:55555/rtp/239.200.201.36:8404
金鹰卡通,http://106.59.2.85:55555/rtp/239.200.200.65:8328
金鹰纪实,http://106.59.2.85:55555/rtp/239.200.201.126:8840
快乐垂钓,http://106.59.2.85:55555/rtp/239.200.200.103:8400
纪实人文,http://124.112.189.64:4022/udp/238.1.78.153:7096
纪实科教,http://106.59.2.85:55555/rtp/239.200.200.147:8728
求索纪录,http://171.213.239.229:8188/udp/239.94.1.142:5140
☘️安徽省,#genre#
安徽国际,http://124.112.189.64:4022/rtp/238.1.78.61:6360
安徽影视,http://124.112.189.64:4022/rtp/238.1.79.42:4448
安徽经济生活,http://124.112.189.64:4022/rtp/238.1.79.44:4464
安徽公共,http://124.112.189.64:4022/rtp/238.1.79.43:4456
安徽综艺体育,http://124.112.189.64:4022/rtp/238.1.79.41:4440
安徽农业科教,http://124.112.189.64:4022/rtp/238.1.79.40:4432
合肥新闻,http://124.112.189.64:4022/rtp/238.1.78.111:6760
肥西新闻综合,http://124.112.189.64:4022/rtp/238.1.78.185:7352
黄山新闻综合,http://124.112.189.64:4022/rtp/238.1.78.130:6912
黄山文旅频道,http://124.112.189.64:4022/rtp/238.1.78.131:6920
黄山区融媒,http://124.112.189.64:4022/rtp/238.1.78.199:7464
蚌埠新闻频道,http://124.112.189.64:4022/rtp/238.1.78.180:7312
滁州新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.132:6928
滁州科教频道,http://124.112.189.64:4022/rtp/238.1.78.133:6936
滁州公共频道,http://124.112.189.64:4022/rtp/238.1.78.134:6944
池州新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.147:7048
淮北新闻,http://124.112.189.64:4022/rtp/238.1.78.135:6952
淮北经济生活,http://124.112.189.64:4022/rtp/238.1.78.136:6960
淮南新闻,http://124.112.189.64:4022/rtp/238.1.78.113:6776
淮南民生频道,http://124.112.189.64:4022/rtp/238.1.78.114:6784
濉溪新闻频道,http://124.112.189.64:4022/rtp/238.1.78.209:7544
宿州新闻综合,http://124.112.189.64:4022/rtp/238.1.78.121:6840
宿州公共频道,http://124.112.189.64:4022/rtp/238.1.78.122:6848
宿州科教生活,http://124.112.189.64:4022/rtp/238.1.78.123:6856
阜南新闻综合,http://124.112.189.64:4022/rtp/238.1.79.11:4200
阜阳生活频道,http://124.112.189.64:4022/rtp/238.1.78.125:6872
芜湖新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.112:6768
六安综合,http://124.112.189.64:4022/rtp/238.1.78.144:7024
六安社会生活,http://124.112.189.64:4022/rtp/238.1.78.145:7032
蚌埠生活频道,http://124.112.189.64:4022/rtp/238.1.78.181:7320
马鞍山科教生活,http://124.112.189.64:4022/rtp/238.1.78.77:6488
宣城文旅生活,http://124.112.189.64:4022/rtp/238.1.78.143:7016
寿县新闻综合,http://124.112.189.64:4022/rtp/238.1.78.146:7040
铜陵新闻综合,http://124.112.189.64:4022/rtp/238.1.78.139:6984
铜陵教育科技频道,http://124.112.189.64:4022/rtp/238.1.78.141:7000
安庆新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.117:6808
安庆经济生活频道,http://124.112.189.64:4022/rtp/238.1.78.118:6816
宣城新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.142:7008
马鞍山新闻综合频道,http://124.112.189.64:4022/rtp/238.1.79.15:4232
阜阳新闻综合频道,http://124.112.189.64:4022/rtp/238.1.78.124:6864
阜阳都市频道,http://124.112.189.64:4022/rtp/238.1.78.127:6888
阜阳教育频道,http://124.112.189.64:4022/rtp/238.1.78.126:6880
芜湖生活频道,http://124.112.189.64:4022/rtp/238.1.78.80:6512
池州文教生活,http://124.112.189.64:4022/rtp/238.1.78.148:7056
徽州新闻频道,http://124.112.189.64:4022/rtp/238.1.78.138:6976
太湖新闻综合,http://124.112.189.64:4022/rtp/238.1.79.12:4208
宁国新闻综合,http://124.112.189.64:4022/rtp/238.1.78.216:7600
歙县综合,http://124.112.189.64:4022/rtp/238.1.78.200:7472
亳州综合,http://124.112.189.64:4022/rtp/238.1.78.128:6896
亳州农村,http://124.112.189.64:4022/rtp/238.1.78.129:6904
蒙城新闻频道,http://124.112.189.64:4022/rtp/238.1.79.19:4264
泗县新闻频道,http://124.112.189.64:4022/rtp/238.1.78.193:7416
萧县新闻综合,http://124.112.189.64:4022/rtp/238.1.79.46:4480
五河新闻综合,http://124.112.189.64:4022/rtp/238.1.79.52:4528
固镇新闻综合频道,http://124.112.189.64:4022/rtp/238.1.79.47:4488
界首综合,http://124.112.189.64:4022/rtp/238.1.78.195:7432
利辛新闻综合,http://124.112.189.64:4022/rtp/238.1.78.196:7440
涡阳新闻综合,http://124.112.189.64:4022/rtp/238.1.78.197:7448
枞阳电视台,http://124.112.189.64:4022/rtp/238.1.78.210:7552
桐城综合频道,http://124.112.189.64:4022/rtp/238.1.78.28:6152
旌德新闻综合,http://124.112.189.64:4022/rtp/238.1.78.215:7592
霍邱新闻综合,http://124.112.189.64:4022/rtp/238.1.78.119:6824
霍山综合频道,http://124.112.189.64:4022/rtp/238.1.78.220:7632
黟县新闻综合,http://124.112.189.64:4022/rtp/238.1.78.149:7064
