☘️河北省,#genre#
贵州卫视,http://106.116.241.206:9999/rtp/239.254.201.20:6315$河北电信
深圳卫视,http://106.116.241.206:9999/rtp/239.254.200.50:8020$河北电信
湖北卫视,http://106.116.241.206:9999/rtp/239.254.200.164:6000$河北电信
东方卫视,http://106.116.241.206:9999/rtp/239.254.200.52:8032$河北电信
重庆卫视,http://106.116.241.206:9999/rtp/239.254.200.203:6323$河北电信
广东卫视,http://106.116.241.206:9999/rtp/239.254.200.56:8048$河北电信
广西卫视,http://106.116.241.206:9999/rtp/239.254.200.80:8300$河北电信
海南卫视,http://106.116.241.206:9999/rtp/239.254.201.125:6288$河北电信
吉林卫视,http://106.116.241.206:9999/rtp/239.254.201.15:6339$河北电信
陕西卫视,http://106.116.241.206:9999/rtp/239.254.200.82:8140$河北电信
山西卫视,http://106.116.241.206:9999/rtp/239.254.200.83:8172$河北电信
云南卫视,http://106.116.241.206:9999/rtp/239.254.200.68:8108$河北电信
内蒙古卫视,http://106.116.241.206:9999/rtp/239.254.200.84:8176$河北电信
青海卫视,http://106.116.241.206:9999/rtp/239.254.200.85:8184$河北电信
宁夏卫视,http://106.116.241.206:9999/rtp/239.254.200.87:8124$河北电信
西藏卫视,http://106.116.241.206:9999/rtp/239.254.200.88:8164$河北电信
新疆卫视,http://106.116.241.206:9999/rtp/239.254.200.89:8160$河北电信
山东教育卫视,http://106.116.241.206:9999/rtp/239.254.200.247:4120$河北电信
北京卫视4K超,http://106.116.241.206:9999/rtp/239.254.201.68:6000$河北电信
凤凰卫视电影台,http://106.116.241.206:9999/rtp/239.254.201.1:5214$河北电信
凤凰卫视中文台,http://106.116.241.206:9999/rtp/239.254.201.2:5226$河北电信
凤凰卫视资讯台,http://106.116.241.206:9999/rtp/239.254.201.3:5227$河北电信
☘️上海市,#genre#
河北都市频道,http://106.116.241.206:9999/rtp/239.254.200.19:6000$河北电信
石家庄新闻综合,http://106.116.241.206:9999/rtp/239.254.200.157:6000$河北电信
承德新闻综合,http://106.116.241.206:9999/rtp/239.254.200.32:6000$河北电信
秦皇岛新闻综合,http://106.116.241.206:9999/rtp/239.254.200.39:6000$河北电信
唐山新闻综合,http://106.116.241.206:9999/rtp/239.254.200.166:6000$河北电信
廊坊新闻综合,http://106.116.241.206:9999/rtp/239.254.200.183:6000$河北电信
保定新闻综合,http://106.116.241.206:9999/rtp/239.254.200.144:6000$河北电信
衡水新闻综合,http://106.116.241.206:9999/rtp/239.254.200.147:6000$河北电信
邯郸新闻综合,http://106.116.241.206:9999/rtp/239.254.200.153:6000$河北电信
上海游戏风云,http://106.116.241.206:9999/rtp/239.254.201.163:6354$河北电信
上海东方财经,http://106.116.241.206:9999/rtp/239.254.201.181:7214$河北电信
定州新闻综合,http://106.116.241.206:9999/rtp/239.254.201.74:6251$河北电信
深州新闻综合,http://106.116.241.206:9999/rtp/239.254.201.46:5357$河北电信
鸡泽新闻综合,http://106.116.241.206:9999/rtp/239.254.201.60:5218$河北电信
武安新闻综合,http://106.116.241.206:9999/rtp/239.254.201.6:5216$河北电信
张家口新闻综合,http://106.116.241.206:9999/rtp/239.254.200.35:6000$河北电信
沧州新闻综合,http://106.116.241.206:9999/rtp/239.254.200.42:6000$河北电信
央视频道,#genre#
CCTV-1综合,http://106.116.241.206:9999/rtp/239.254.200.45:8008$河北电信
CCTV-2财经,http://106.116.241.206:9999/rtp/239.254.200.158:6000$河北电信
CCTV-3综艺,http://106.116.241.206:9999/rtp/239.254.201.152:7205$河北电信
CCTV-4中文国际,http://106.116.241.206:9999/rtp/239.254.200.190:6307$河北电信
CCTV-5体育,http://106.116.241.206:9999/rtp/239.254.201.153:7206$河北电信
CCTV-5+体育赛事,http://106.116.241.206:9999/rtp/239.254.200.46:8004$河北电信
CCTV-6电影,http://106.116.241.206:9999/rtp/239.254.201.154:7207$河北电信
CCTV-7国防军事,http://106.116.241.206:9999/rtp/239.254.200.159:6000$河北电信
CCTV-8电视剧,http://106.116.241.206:9999/rtp/239.254.201.155:7208$河北电信
CCTV-9纪录,http://106.116.241.206:9999/rtp/239.254.200.59:8112$河北电信
CCTV-10科教,http://106.116.241.206:9999/rtp/239.254.200.160:6000$河北电信
CCTV-11戏曲,http://106.116.241.206:9999/rtp/239.254.201.123:8120$河北电信
CCTV-12社会与法,http://106.116.241.206:9999/rtp/239.254.200.161:6000$河北电信
CCTV-13新闻,http://106.116.241.206:9999/rtp/239.254.200.9:8264$河北电信
CCTV-14少儿,http://106.116.241.206:9999/rtp/239.254.200.162:6000$河北电信
CCTV-15音乐,http://106.116.241.206:9999/rtp/239.254.201.124:8136$河北电信
CCTV-17农业农村,http://106.116.241.206:9999/rtp/239.254.201.120:8144$河北电信
CCTV电视指南,http://106.116.241.206:9999/rtp/239.254.201.217:7250$河北电信
CCTV第一剧场,http://106.116.241.206:9999/rtp/239.254.201.218:7258$河北电信
CCTV风云剧场,http://106.116.241.206:9999/rtp/239.254.201.219:7257$河北电信
CCTV怀旧剧场,http://106.116.241.206:9999/rtp/239.254.201.220:7256上海$河北电信
CCTV风云音乐,http://106.116.241.206:9999/rtp/239.254.201.221:7259$河北电信
CCTV风云足球,http://106.116.241.206:9999/rtp/239.254.201.222:7251$河北电信
CCTV高尔夫网球,http://106.116.241.206:9999/rtp/239.254.201.223:7252$河北电信
CCTV央视台球,http://106.116.241.206:9999/rtp/239.254.201.171:7176$河北电信
CCTV女性时尚,http://106.116.241.206:9999/rtp/239.254.201.228:7255$河北电信
CCTV央视文化精品,http://106.116.241.206:9999/rtp/239.254.201.229:7260$河北电信
CCTV兵器科技,http://106.116.241.206:9999/rtp/239.254.201.225:7249$河北电信
CCTV世界地理,http://106.116.241.206:9999/rtp/239.254.201.226:7254$河北电信
CETV1,http://106.116.241.206:9999/rtp/239.254.200.225:6259$河北电信
CETV-2,http://106.116.241.206:9999/rtp/239.254.200.226:6260$河北电信
CETV-4,http://106.116.241.206:9999/rtp/239.254.200.227:6261$河北电信
CETV早期教育,http://106.116.241.206:9999/rtp/239.254.201.230:7253$河北电信
CCTV4K超,http://106.116.241.206:9999/rtp/239.254.201.67:6000$河北电信
CCTV-4欧洲,http://106.116.241.206:9999/rtp/239.254.201.205:4220$河北电信
CCTV-4美洲,http://106.116.241.206:9999/rtp/239.254.201.206:4220$河北电信
CGTN英语,http://106.116.241.206:9999/rtp/239.254.200.12:8056$河北电信
CGTN记录,http://106.116.241.206:9999/rtp/239.254.201.208:4220$河北电信
CGTN西班牙语,http://106.116.241.206:9999/rtp/239.254.201.209:4220$河北电信
CGTN法语,http://106.116.241.206:9999/rtp/239.254.201.210:4220$河北电信
CGTN阿拉伯语,http://106.116.241.206:9999/rtp/239.254.201.211:4220$河北电信
CGTN俄语,http://106.116.241.206:9999/rtp/239.254.201.212:4220$河北电信
中国交通频道,http://106.116.241.206:9999/rtp/239.254.201.110:5181$河北电信
数字频道,#genre#
金鹰卡通,http://106.116.241.206:9999/rtp/239.254.200.92:9252$河北电信
卡酷少儿,http://106.116.241.206:9999/rtp/239.254.200.91:9248$河北电信
嘉佳卡通,http://106.116.241.206:9999/rtp/239.254.201.201:7269$河北电信
优漫卡通,http://106.116.241.206:9999/rtp/239.254.201.203:7178$河北电信
北京纪实科教,http://106.116.241.206:9999/rtp/239.254.200.188:6311$河北电信
金鹰纪实,http://106.116.241.206:9999/rtp/239.254.200.189:6293$河北电信
茶频道,http://106.116.241.206:9999/rtp/239.254.200.228:6258$河北电信
快乐垂钓,http://106.116.241.206:9999/rtp/239.254.200.229:6257$河北电信
天元围棋,http://106.116.241.206:9999/rtp/239.254.201.156:6270$河北电信
上海乐游频道,http://106.116.241.206:9999/rtp/239.254.201.200:6356$河北电信
上海动漫秀场,http://106.116.241.206:9999/rtp/239.254.201.165:6358$河北电信
上海生活时尚,http://106.116.241.206:9999/rtp/239.254.201.166:6359$河北电信
上海都市剧场,http://106.116.241.206:9999/rtp/239.254.201.167:6360$河北电信
上海法治天地,http://106.116.241.206:9999/rtp/239.254.201.183:7226$河北电信
上海金色学堂,http://106.116.241.206:9999/rtp/239.254.201.182:7227$河北电信
河南梨园频道,http://106.116.241.206:9999/rtp/239.254.201.231:7228$河北电信
4K频道,#genre#
上海欢笑剧场4K,http://106.116.241.206:9999/rtp/239.254.201.164:6355$河北电信
☘️河南省,#genre#
河南武术世界,http://106.116.241.206:9999/rtp/239.254.201.224:7229$河北电信
河南文物宝库,http://106.116.241.206:9999/rtp/239.254.201.227:7230$河北电信
